Rank	Gene	PredictionScore
1	RUNX1T1	0.752
2	MAGI2	0.725
3	ANK3	0.705
4	STRBP	0.703
5	KCND2	0.697
6	GRIA3	0.694
7	DCX	0.687
8	CELF2	0.682
9	ASH1L	0.675
10	MLLT3	0.672
11	RBFOX2	0.662
12	MYCBP2	0.661
13	MAP2	0.66
14	RIMS1	0.652
15	ANKRD12	0.651
16	SCAI	0.648
17	ZCCHC14	0.646
18	GRIK2	0.646
19	CAMSAP1	0.637
20	RSF1	0.637
21	CDH8	0.635
22	FAM115A	0.632
23	CELF1	0.631
24	AKAP6	0.628
25	SBNO1	0.627
26	GABRA2	0.627
27	TNRC6B	0.625
28	CELF4	0.625
29	KLF7	0.622
30	HCN1	0.62
31	WAC	0.62
32	GRIA4	0.62
33	BPTF	0.614
34	ZMYND11	0.613
35	TANC2	0.613
36	MEF2A	0.612
37	PCLO	0.61
38	PTPRD	0.608
39	PUM2	0.607
40	PDE4DIP	0.606
41	RFX7	0.605
42	MBD5	0.605
43	UBE3A	0.605
44	SYNJ1	0.603
45	NRXN1	0.6
46	NALCN	0.6
47	TMCC1	0.598
48	CAMSAP2	0.598
49	NCOA2	0.598
50	PPM1L	0.596
51	GPATCH8	0.596
52	PCDH10	0.595
53	FMN2	0.595
54	SRGAP3	0.594
55	CSRNP3	0.594
56	CPEB4	0.592
57	PPP1R9A	0.592
58	CLASP1	0.591
59	AUTS2	0.59
60	MDGA2	0.589
61	UBR3	0.588
62	ZNF318	0.585
63	CACNA1C	0.585
64	STOX2	0.584
65	ZNF445	0.584
66	PPP1R12A	0.583
67	RBFOX1	0.581
68	MGEA5	0.581
69	ARHGEF12	0.58
70	CCDC88A	0.58
71	PANK3	0.579
72	R3HDM1	0.578
73	ATP2B1	0.577
74	SATB1	0.577
75	MMP16	0.577
76	NCOA1	0.577
77	MED13L	0.575
78	KIF1B	0.575
79	ANK2	0.575
80	MYO9A	0.574
81	SCN3A	0.573
82	TMOD2	0.573
83	PUM1	0.572
84	YLPM1	0.572
85	USP34	0.572
86	SCAPER	0.572
87	GRIA2	0.571
88	KIF5C	0.571
89	AFF4	0.57
90	CPEB3	0.57
91	GABRG2	0.57
92	CTNNA2	0.57
93	RALGAPA1	0.568
94	ABI2	0.567
95	LRP8	0.566
96	ARHGAP32	0.566
97	MYT1L	0.565
98	SCN1A	0.565
99	SS18L1	0.564
100	KIDINS220	0.563
101	CACNA2D1	0.563
102	PLXNA2	0.562
103	CMIP	0.562
104	SLC4A10	0.562
105	KIF2A	0.562
106	CDH10	0.562
107	ZFR	0.56
108	NEUROD6	0.559
109	BSN	0.559
110	FUT9	0.558
111	ZNF451	0.558
112	6-Mar	0.556
113	NRXN2	0.554
