Supplementay Table 2. Gene prediction score from each fold of cross validation (CV) and the average over five folds							
Gene	CV1	CV2	CV3	CV4	CV5	Mean	rank
HERC1	0.909672222222222	0.832166666666667	0.816733333333333	0.80325	0.912844444444444	0.854933333333333	1
CAND1	0.8517	0.852366666666667	0.800438888888889	0.863611111111111	0.860705555555556	0.845764444444444	2
ZYG11B	0.886266666666667	0.8325	0.802583333333334	0.896733333333334	0.802966666666667	0.84421	3
NBEA	0.893638888888889	0.870811111111111	0.835033333333334	0.751161111111111	0.865394444444445	0.843207777777778	4
ATRX	0.896527777777778	0.824272222222222	0.806711111111111	0.780977777777778	0.856644444444444	0.833026666666667	5
FBXO11	0.817977777777778	0.81615	0.781238888888889	0.870544444444445	0.846844444444445	0.826551111111111	6
TCF20	0.919866666666667	0.822988888888889	0.833466666666667	0.670761111111111	0.844844444444444	0.818385555555556	7
DOCK3	0.83965	0.769444444444445	0.774888888888889	0.812066666666667	0.870894444444444	0.813388888888889	8
XPO7	0.804416666666667	0.756616666666667	0.755333333333333	0.852433333333333	0.860288888888889	0.805817777777778	9
MYCBP2	0.8391	0.752761111111111	0.7644	0.780488888888889	0.869244444444444	0.801198888888889	10
NAV1	0.880383333333334	0.793744444444445	0.747505555555555	0.7516	0.815044444444445	0.797655555555556	11
CACNA1E	0.841305555555556	0.800177777777778	0.762011111111111	0.760388888888889	0.8183	0.796436666666667	12
SPEN	0.792038888888889	0.77885	0.746538888888889	0.785483333333333	0.867244444444444	0.794031111111111	13
USP9X	0.896477777777778	0.782355555555555	0.707416666666667	0.766022222222222	0.81225	0.792904444444444	14
HECTD1	0.913722222222222	0.806833333333333	0.715411111111111	0.713177777777778	0.767877777777778	0.783404444444444	15
CNOT1	0.799216666666667	0.766161111111111	0.728783333333334	0.766866666666666	0.849238888888889	0.782053333333333	16
BPTF	0.873422222222222	0.809494444444445	0.728177777777778	0.734327777777778	0.759955555555556	0.781075555555556	17
ACACA	0.86115	0.751483333333333	0.755027777777778	0.704044444444445	0.810005555555556	0.776342222222222	18
PTPRD	0.779211111111111	0.785944444444444	0.751888888888889	0.721411111111111	0.836322222222223	0.774955555555556	19
UBR4	0.742966666666666	0.752316666666667	0.770172222222222	0.794372222222222	0.812911111111111	0.774547777777778	20
DIP2C	0.886127777777778	0.746655555555555	0.716327777777778	0.69515	0.827388888888889	0.77433	21
TANC2	0.820516666666667	0.736327777777778	0.742933333333333	0.733233333333333	0.82905	0.772412222222222	22
UBE2O	0.830461111111111	0.767155555555555	0.746583333333333	0.7084	0.807955555555556	0.772111111111111	23
HUWE1	0.706716666666667	0.753783333333333	0.7675	0.763716666666667	0.866955555555556	0.771734444444445	24
KIF2A	0.774966666666667	0.725938888888889	0.762322222222223	0.793444444444445	0.789877777777778	0.76931	25
BAI3	0.807116666666666	0.787161111111111	0.744966666666667	0.696616666666667	0.803105555555555	0.767793333333333	26
PUM1	0.772161111111111	0.738094444444444	0.6766	0.834588888888889	0.816461111111112	0.767581111111111	27
GRIK3	0.792344444444445	0.762111111111111	0.721377777777778	0.758233333333333	0.801133333333334	0.76704	28
KDM4B	0.8396	0.789166666666667	0.697188888888889	0.695022222222222	0.813244444444444	0.766844444444444	29
PLXNA1	0.818583333333333	0.761205555555556	0.761166666666667	0.670094444444444	0.808911111111111	0.763992222222222	30
KDM4A	0.827333333333333	0.778922222222222	0.724927777777778	0.697427777777778	0.782477777777778	0.762217777777778	31
SMG1	0.805905555555556	0.764911111111111	0.736422222222222	0.748622222222222	0.750894444444444	0.761351111111111	32
TNRC6C	0.807466666666667	0.770166666666667	0.694883333333334	0.771216666666667	0.754566666666667	0.75966	33
YLPM1	0.851255555555556	0.797505555555555	0.742588888888889	0.585488888888889	0.818077777777778	0.758983333333333	34
HIVEP2	0.78145	0.7774	0.717483333333333	0.685511111111111	0.829205555555556	0.75821	35
MACF1	0.728944444444445	0.754627777777778	0.721527777777778	0.741088888888889	0.844144444444444	0.758066666666667	36
ZMYM4	0.838255555555556	0.796161111111111	0.718555555555555	0.652688888888889	0.777755555555555	0.756683333333333	37
