Gene stable ID	Gene name	NCBI gene ID	Protein stable ID
ENSG00000275323	RPS9	6203	ENSP00000480135
ENSG00000275323	RPS9	6203	ENSP00000485843
ENSG00000273642	AC012314.1	4696	ENSP00000477919
ENSG00000276220	AC012314.8	4696	ENSP00000480437
ENSG00000276982	OSCAR	126014	ENSP00000478594
ENSG00000276982	OSCAR	126014	ENSP00000481257
ENSG00000276982	OSCAR	126014	ENSP00000482460
ENSG00000276982	OSCAR	126014	ENSP00000478027
ENSG00000276982	OSCAR	126014	ENSP00000482805
ENSG00000235754	APOM	55937	ENSP00000397018
ENSG00000235754	APOM	55937	ENSP00000403062
ENSG00000235754	APOM	55937	ENSP00000389591
ENSG00000117335	CD46	4179	ENSP00000350893
ENSG00000117335	CD46	4179	ENSP00000346912
ENSG00000117335	CD46	4179	ENSP00000314664
ENSG00000117335	CD46	4179	ENSP00000356009
ENSG00000117335	CD46	4179	ENSP00000356008
ENSG00000117335	CD46	4179	ENSP00000350346
ENSG00000117335	CD46	4179	ENSP00000313875
ENSG00000117335	CD46	4179	ENSP00000356014
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	ENSP00000353342
ENSG00000117335	CD46	4179	ENSP00000418471
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	
ENSG00000117335	CD46	4179	ENSP00000473449
ENSG00000268916	CSAG3	389903	
ENSG00000268916	CSAG3	389903	ENSP00000491011
ENSG00000268916	CSAG3	389903	ENSP00000492276
ENSG00000146001	PCDHB18P	54660	
ENSG00000146001	PCDHB18P	54660	
ENSG00000146001	PCDHB18P	54660	
ENSG00000198496	NBR2	10230	
ENSG00000198496	NBR2	10230	
ENSG00000198496	NBR2	10230	
ENSG00000198496	NBR2	10230	
ENSG00000276896	GOLGA8F	283768	
ENSG00000276896	GOLGA8F	100132565	
ENSG00000276896	GOLGA8F	283768	
ENSG00000276896	GOLGA8F	100132565	
ENSG00000276896	GOLGA8F	283768	ENSP00000483530
ENSG00000276896	GOLGA8F	100132565	ENSP00000483530
ENSG00000276896	GOLGA8F	283768	
ENSG00000276896	GOLGA8F	100132565	
ENSG00000276896	GOLGA8F	283768	
ENSG00000276896	GOLGA8F	100132565	
ENSG00000276896	GOLGA8F	283768	ENSP00000483042
ENSG00000276896	GOLGA8F	100132565	ENSP00000483042
ENSG00000240871	KRTAP4-7	100132476	ENSP00000375236
ENSG00000240871	KRTAP4-7	100132476	ENSP00000480672
ENSG00000204444	APOM	55937	ENSP00000365083
ENSG00000204444	APOM	55937	ENSP00000365085
ENSG00000204444	APOM	55937	ENSP00000365081
ENSG00000206480	FLOT1	10211	
ENSG00000206480	FLOT1	10211	ENSP00000373056
ENSG00000206480	FLOT1	10211	ENSP00000415094
ENSG00000206480	FLOT1	10211	
ENSG00000206480	FLOT1	10211	ENSP00000393409
ENSG00000206480	FLOT1	10211	
ENSG00000206480	FLOT1	10211	ENSP00000389698
ENSG00000206480	FLOT1	10211	ENSP00000413293
ENSG00000206480	FLOT1	10211	
ENSG00000206480	FLOT1	10211	ENSP00000389138
ENSG00000206480	FLOT1	10211	ENSP00000390747
ENSG00000206480	FLOT1	10211	
ENSG00000070669	ASNS	440	ENSP00000377846
ENSG00000070669	ASNS	440	ENSP00000401651
ENSG00000070669	ASNS	440	ENSP00000414379
ENSG00000070669	ASNS	440	ENSP00000377845
ENSG00000070669	ASNS	440	ENSP00000414901
ENSG00000070669	ASNS	440	ENSP00000408472
ENSG00000070669	ASNS	440	ENSP00000406994
ENSG00000070669	ASNS	440	
ENSG00000070669	ASNS	440	
ENSG00000070669	ASNS	440	ENSP00000400422
ENSG00000070669	ASNS	440	
ENSG00000070669	ASNS	440	ENSP00000394242
ENSG00000070669	ASNS	440	ENSP00000402350
ENSG00000070669	ASNS	440	ENSP00000408797
ENSG00000070669	ASNS	440	ENSP00000397802
ENSG00000070669	ASNS	440	ENSP00000413797
ENSG00000070669	ASNS	440	ENSP00000175506
ENSG00000278634	LILRA2	11027	
ENSG00000278634	LILRA2	11027	
ENSG00000278634	LILRA2	11027	ENSP00000478991
ENSG00000278634	LILRA2	11027	ENSP00000484762
ENSG00000278634	LILRA2	11027	ENSP00000483906
ENSG00000278634	LILRA2	11027	ENSP00000486317
ENSG00000278634	LILRA2	11027	ENSP00000487398
ENSG00000242019	KIR3DL3	115653	ENSP00000291860
ENSG00000111199	TRPV4	59341	ENSP00000406191
ENSG00000111199	TRPV4	59341	ENSP00000261740
ENSG00000111199	TRPV4	59341	ENSP00000437449
ENSG00000111199	TRPV4	59341	ENSP00000443611
ENSG00000111199	TRPV4	59341	ENSP00000442738
ENSG00000111199	TRPV4	59341	ENSP00000442167
ENSG00000111199	TRPV4	59341	ENSP00000444336
ENSG00000111199	TRPV4	59341	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	
ENSG00000137700	SLC37A4	2542	ENSP00000475241
ENSG00000137700	SLC37A4	2542	ENSP00000476176
ENSG00000137700	SLC37A4	2542	ENSP00000476242
ENSG00000137700	SLC37A4	2542	ENSP00000475991
ENSG00000148346	LCN2	3934	ENSP00000362108
ENSG00000148346	LCN2	3934	
ENSG00000148346	LCN2	3934	ENSP00000277480
ENSG00000148346	LCN2	3934	
ENSG00000148346	LCN2	3934	ENSP00000362089
ENSG00000148346	LCN2	3934	
ENSG00000148346	LCN2	3934	
ENSG00000074603	DPP8	54878	ENSP00000339208
ENSG00000074603	DPP8	54878	ENSP00000351817
ENSG00000074603	DPP8	54878	ENSP00000300141
ENSG00000074603	DPP8	54878	ENSP00000318111
ENSG00000074603	DPP8	54878	ENSP00000454922
ENSG00000074603	DPP8	54878	ENSP00000453954
ENSG00000074603	DPP8	54878	ENSP00000379013
ENSG00000074603	DPP8	54878	
