,ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,TADA_BF,krishnan_post,D,D_ens,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000275857,ENSP00000275857,57502,NLGN4X,4.44e-05,TRUE,3,0.932298559009719,0.333803893171551,0.497,NA,NA,0.94481636431511,0.940001462891505,0.944230974,0.940729503941195,0,0.610208025,86.4467547679808
ENSP00000274547,ENSP00000274547,2561,GABRB2,2.166e-05,FALSE,NA,0.940299230468594,1.22552382674327,0.569,0.692319548424404,0.609804137633941,0.857199621068463,0.835501813884538,0.839831739,0.930184282084946,0,0.699867615,95.6800455053231
ENSP00000284049,ENSP00000284049,1105,CHD1,5.6e-05,FALSE,NA,0.999999999362856,2.6080600303533,0.495,0.700325881796048,0.560775817415045,0.171569090749728,0.159640886392382,0.680045809,0.480145821935833,0,1,1.1182732047664
ENSP00000442518,ENSP00000442518,85358,SHANK3,5.78e-05,TRUE,1,0.999839619981909,18.6281136270034,0.492,0.732680732571631,0.449700251563654,0.000985528156787903,0.359511556140599,0.290572587,0.942928993273606,0,1,0
ENSP00000293441,ENSP00000293441,50944,SHANK1,8.13e-05,TRUE,3,0.999999760947139,0.227218714904682,0.472,0.368164791931314,-0.142578852946515,0.947981132312527,0.945841077513498,0.947808463,0.944852578104243,0,0.311853599,71.18582533
ENSP00000362330,ENSP00000362330,84181,CHD6,0.0001091,FALSE,NA,0.99999999999754,0.127711789406201,0.482,0.613853077297623,0.396084364882219,0.950407252740258,0.948056083706901,0.949853341,0.946132866838532,0,0.763902004,19.14743074
ENSP00000354541,ENSP00000354541,22871,NLGN1,2.96e-05,TRUE,3,0.755797511974091,0.393025679470833,0.609,0.178685107386667,0.0934553429110775,0.947853698603155,0.934260257870679,0.941227092,0.935839354610838,0,0.827420636591598,101.0537892
ENSP00000263269,ENSP00000263269,2906,GRIN2D,5.3e-05,FALSE,NA,0.998648757458714,0.395383121464364,0.496,0.420183664157831,-0.236674538641203,0.944018986121238,0.941816285748812,0.941048489,0.942265453907735,0,0.673747586245075,16.5845133405819
ENSP00000290663,ENSP00000290663,112950,MED8,1.072e-05,FALSE,NA,8.1582621367423e-06,0.634308786194696,0.331,0.00717809750695041,-0.481933719908279,0.908559694650875,0.90760864935002,0.901322354,0.841484646181388,0,1,4.713880427
ENSP00000264426,ENSP00000264426,2891,GRIA2,3.44e-05,FALSE,NA,0.99550949045347,7.455187108544,0.765,0.70952291424419,0.461857961132215,0.509109960050974,0.480559268711761,0.486911892,0.937983067639912,0,1,9.532627311
