ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,forecASD,STRING_score,BrainSpan_score,STRING+BrainSpan_RF,krishnan_post,D_ens,D,TADA_BF,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000254846,23135,KDM6B,0.0000827,TRUE,3,0.999994425,1.000,0.724,0.617,0.933,0.567,0.560510732,0.434274695,17.9059694,0.01330646,0.017090948,0.297067798,0.045829125,0,1,6.038470068
ENSP00000279593,2904,GRIN2B,0.000073,TRUE,1,0.999994896,1.000,0.674,0.697,0.901,0.579,0.801507053,0.40050736,11552.4315,0.000202788,0.000151891,0.000257817,0.000826757,1,0.000000152,34.07467851
ENSP00000283256,6326,SCN2A,0.000074,TRUE,1,0.999999992,1.000,0.596,0.639,0.994,0.609,0.851025117,0.536271294,1596280319,3.56845E-10,3.16934E-10,9.81E-09,0.000534822,1,0.000000261,67.19899401
ENSP00000305899,51111,KMT5B,0.0000348,TRUE,1,0.99993019,1.000,0.558,0.608,0.968,0.517,0.635857184,0.515962935,80659.67393,6.302E-05,6.52165E-05,0.0000851,0.016772936,0,1,6.354379941
ENSP00000295888,23001,WDFY3,0.0001332,TRUE,2,1,1.000,0.555,0.705,0.983,0.579,0.673708892,0.271768739,37.94545532,0.020362117,0.012719878,0.118330116,0.074969879,0,1,1.932841468
ENSP00000271715,23126,POGZ,0.0000566,TRUE,1,0.999999128,1.000,0.542,0.814,0.992,0.516,0.626583262,0.436662729,1636.170245,4.67611E-05,4.7903E-05,0.001506652,0.008022816,1,0.0000571,29.03653116
ENSP00000283943,9320,TRIP12,0.0000738,TRUE,1,1,1.000,0.537,0.644,0.989,0.502,0.744533887,0.504219429,9.61697979,0.001942015,0.047960114,0.423199604,0.05393084,0,1,12.60587347
ENSP00000361021,5728,PTEN,0.00001395,TRUE,1,0.975506866,1.000,0.478,0.438,0.933,0.498,0.507767509,0.24988227,122.0037238,0.000710647,0.000523002,0.040054598,0.040854918,1,0.000710441,133.9547566
ENSP00000264414,8452,CUL3,0.00002977,TRUE,1,0.974063405,1.000,0.469,0.623,0.949,0.497,0.553263145,0.190411459,758.9165551,0.005262091,0.003318598,0.003066592,0.425963409,1,0.000000191,115.675064
ENSP00000374205,10716,TBR1,0.0000355,TRUE,1,0.993588037,1.000,0.469,0.371,0.925,0.612,0.759926046,0.438445623,4778.048918,0.000153711,0.000199744,0.000708878,0.00585465,1,0.000000234,80.28652462
ENSP00000381932,1859,DYRK1A,0.00003119,TRUE,1,0.999584542,1.000,0.458,0.855,0.926,0.579,0.411180664,0.133550283,79189.11379,1.99188E-06,4.1856E-06,0.000101177,0.001545951,1,0.000000152,54.56270451
ENSP00000344546,57492,ARID1B,0.0000902,TRUE,1,0.99994993,0.995,0.542,0.859,0.994,0.493,0.684262949,0.521424115,162474.6284,1.53908E-07,3.05312E-06,0.0000322,0.056411734,1,0.006643912,14.52821937
ENSP00000318902,27086,FOXP1,0.00003015,TRUE,2,0.999750735,0.995,0.485,0.351,0.922,0.568,0.671053541,0.540690877,10.08308851,0.042434425,0.028407991,0.4068931,0.028029277,1,0.007358441,84.9759419
ENSP00000352185,5253,PHF2,0.0000506,TRUE,3,0.994132137,0.994,0.456,0.744,0.817,0.539,0.537121146,0.322771284,7.993956239,0.031890865,0.038110476,0.465943497,0.036560845,1,0.000594141,29.91816333
ENSP00000382863,57680,CHD8,0.0000925,TRUE,1,1,0.994,0.748,0.753,1.000,0.486,0.760026222,0.436893163,484952.7916,3.05671E-10,2.80347E-10,0.0000108,2.31497E-08,0,1,5.886881491
ENSP00000338774,53335,BCL11A,0.0000527,TRUE,2,0.828999685,0.994,0.544,0.550,0.975,0.645,0.660262064,0.388501582,161.4192058,0.037244493,0.043258699,0.0107986,0.478212701,1,0.005355834,103.9113774
ENSP00000385142,9378,NRXN1,0.000074,TRUE,2,0.999948738,0.994,0.735,0.658,0.994,0.93,0.581825529,0.405931244,23.14413323,2.3114E-07,0.342556008,0.228162086,0.481435284,0,1,12.13197479
ENSP00000419101,55799,CACNA2D3,0.0000437,TRUE,2,0.998032255,0.993,0.481,0.299,0.956,0.498,0.221813423,0.067563354,138.200329,0.122252095,0.035419049,0.016866662,0.31032215,0,1,8.669249913
ENSP00000269243,4628,MYH10,0.0000896,FALSE,NA,0.99999755,0.992,0.362,0.558,0.374,0.6,0.741327661,0.388001407,18.84701241,0.129338413,0.124203957,0.287275951,0.06242001,0,1,18.49928202
ENSP00000396103,23040,MYT1L,0.0000553,TRUE,1,0.999963989,0.991,0.521,0.659,1.000,0.613,0.697118769,0.399906941,71.87637303,0.026721973,0.020917533,0.074865167,0.774373506,0,1,13.83060691
ENSP00000349588,287,ANK2,0.00014923,TRUE,1,1,0.990,0.479,0.740,0.991,0.766,0.309311729,0.210712918,83588.24342,1.34895E-05,9.48943E-06,0.0000632,0.004382551,0,0.572426271,81.37504132
ENSP00000299267,2562,GABRB3,0.00002174,TRUE,2,0.99707396,0.990,0.697,0.797,0.972,0.765,0.563414749,0.252758032,128.5664415,0.044942927,0.040742181,0.02742713,0.658695327,0,0.648384964,144.6525509
ENSP00000287766,6529,SLC6A1,0.00003003,TRUE,2,0.999301879,0.989,0.554,0.300,0.949,0.61,0.407273746,0.034682482,27.28967485,0.029094457,0.032968453,0.198293923,0.385292822,0,0.594846876,32.87866205
ENSP00000356234,10765,KDM5B,0.0000613,TRUE,2,5.0942E-05,0.989,0.618,0.670,0.992,0.496,0.157964487,0.507915408,24.7818214,2.28578E-05,2.07919E-05,0.212281248,0.001158908,0,0.62198083,79.76062246
ENSP00000376204,55870,ASH1L,0.0001066,TRUE,1,1,0.989,0.689,0.730,0.997,0.493,0.654303292,0.50944373,76.08818913,0.004253079,0.001899082,0.062574471,0.441628413,0,1,8.441421504
